Light,Blue,Broad,Green,Red,Nutrient,nut_ord,Micro_Rep,Treatment,Microcosm,Survived,Mass,JSG,jsgr_neg,filamentous,non_fil,green,crypto,diatom,dino
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,1,38.5,0.476090287,0.476090287,182142.8571,1714.285714,214714.2857,0,428.5714286,0
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,0,0,0,-1,182142.8571,1714.285714,214714.2857,0,428.5714286,0
Green,0,0,1,0,High,2,3,Green_HP,Green_HP_R3,0,0,0,-1,182142.8571,1714.285714,214714.2857,0,428.5714286,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,13.3,0.210366735,0.210366735,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,11.4,0.171829065,0.171829065,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,14.8,0.237082521,0.237082521,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,14.2,0.226736217,0.226736217,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,13.2,0.208479934,0.208479934,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,12.5,0.194857887,0.194857887,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,1,Green_LP,Green_LP_R1,1,12.6,0.19684993,0.19684993,23428.57143,308714.2857,76142.85714,0,7999.999999,0
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,17.6,0.280400452,0.280400452,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,12.1,0.186727089,0.186727089,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,18.1,0.287403711,0.287403711,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,17.3,0.276102352,0.276102352,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,18.1,0.287403711,0.287403711,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,16.6,0.2657764,0.2657764,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,2,Green_LP,Green_LP_R2,1,17.2,0.274653072,0.274653072,15000,3571.428571,90428.57143,2714.285714,1000,6142.857143
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,26.1,0.378909555,0.378909555,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,20.8,0.322163973,0.322163973,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,28.4,0.400023013,0.400023013,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,25.6,0.374073814,0.374073814,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,18.7,0.295556607,0.295556607,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,26,0.377949861,0.377949861,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Green,0,0,1,0,Low,1,3,Green_LP,Green_LP_R3,1,9.9,0.136559416,0.136559416,13000,1142.857143,98142.85715,0,857.1428573,3428.571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,1,8.7,0.104256483,0.104256483,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,1,8.8,0.107113657,0.107113657,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,1,11.6,0.176177001,0.176177001,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,0,0,0,-1,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,0,0,0,-1,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,0,0,0,-1,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,1,Red_HP,Red_HP_R1,0,0,0,-1,72285.71429,71000,67428.57143,0,0,142.8571429
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,20.5,0.318531948,0.318531948,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,17.8,0.283225341,0.283225341,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,9.4,0.123603149,0.123603149,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,20.7,0.320959151,0.320959151,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,23.7,0.354794488,0.354794488,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,15.3,0.245388933,0.245388933,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,2,Red_HP,Red_HP_R2,1,21.3,0.328102494,0.328102494,3714.285714,5285.714285,42357.14286,0,142.8571429,714.2857143
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,1,17.9,0.284625904,0.284625904,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,1,0,0,-1,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,0,0,0,-1,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,0,0,0,-1,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,0,0,0,-1,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,0,0,0,-1,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,High,2,3,Red_HP,Red_HP_R3,0,0,0,-1,301000,245857.1429,250714.2857,0,142.8571429,142.8571429
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,16.2,0.259678537,0.259678537,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,19.1,0.30084781,0.30084781,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,14.4,0.230232778,0.230232778,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,18.2,0.288781125,0.288781125,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,17.5,0.278975946,0.278975946,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,17,0.271729062,0.271729062,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,1,Red_LP,Red_LP_R1,1,22.1,0.337320128,0.337320128,456857.1428,352714.2857,12714.28571,5428.571428,1000,1142.857143
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,19.1,0.30084781,0.30084781,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,27.9,0.395582398,0.395582398,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,24,0.357939184,0.357939184,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,27,0.387384943,0.387384943,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,27.9,0.395582398,0.395582398,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,26.5,0.382711909,0.382711909,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,2,Red_LP,Red_LP_R2,1,25.4,0.37211302,0.37211302,38428.57143,110142.8571,19571.42857,0,2142.857143,2000
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,1,12.7,0.198826225,0.198826225,94142.85714,268857.1429,9428.571429,2428.571429,0,0
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,1,11.8,0.180450609,0.180450609,94142.85714,268857.1429,9428.571429,2428.571429,0,0
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,1,11.4,0.171829065,0.171829065,94142.85714,268857.1429,9428.571429,2428.571429,0,0
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,1,11.9,0.182560326,0.182560326,94142.85714,268857.1429,9428.571429,2428.571429,0,0
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,1,12.3,0.190825542,0.190825542,94142.85714,268857.1429,9428.571429,2428.571429,0,0
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,1,8,0.083286112,0.083286112,94142.85714,268857.1429,9428.571429,2428.571429,0,0
Red,0,0,0,1,Low,1,3,Red_LP,Red_LP_R3,0,0,0,-1,94142.85714,268857.1429,9428.571429,2428.571429,0,0
